
,1,;,7501737414526        ,;, Desodorante Adidas Men Team                  ,;;, Desodorante Adidas Men Team                  ,;,NO,;,3,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,2,;,7702031618737        ,;, Enjuague Bucal Listerine Extreme 236ml       ,;;, Enjuague Bucal Listerine Extreme 236ml       ,;,NO,;,3,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,3,;,7501054504870        ,;, Labello Clasico                              ,;;, Labello Clasico                              ,;,NO,;,3,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,4,;,7501054504528,;,Labello Hydro,;,uploads/7fWN1qwHJkhXCQ2p2T4cFQqouk6rd8CeVQR5d2j2.jpg,;,Labello Hydro,;,NO,;,3,;,0000-00-00 00:00:00,;,2021-06-09 15:58:08,
,5,;,75020011163850,;,A-D-KAN SOLUCION,;,uploads/gUf1u3m3fiGFCumeuPHc5TDmRs9fDpGuZsMwRWPr.jpg,;,A-D-KAN SOLUCION,;,NO,;,5,;,0000-00-00 00:00:00,;,2021-06-09 16:05:43,
,6,;,759684437151,;,ACETONA JALOMA 120ml,;,uploads/EDYzuLDwet6BFM0JIPj03LWSs9tf4DRaIynaZQf0.jpg,;,ACETONA JALOMA 120ml,;,NO,;,3,;,0000-00-00 00:00:00,;,2021-06-09 15:58:27,
,7,;,7500435116718        ,;,ACONDICIONADOR FUERZA Y RECOSTRUCCION         ,;;,ACONDICIONADOR FUERZA Y RECOSTRUCCION         ,;,NO,;,3,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,8,;,7500435106412        ,;,ACONDICIONADOR PANTENE                        ,;;,ACONDICIONADOR PANTENE                        ,;,NO,;,1,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,9,;,7501165010789        ,;,ADerogyl  Sol. Infantil 30ml                  ,;;,ADerogyl  Sol. Infantil 30ml                  ,;,NO,;,4,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,10,;, AJEDREZ             ,;,AJEDREZ                                       ,;;,AJEDREZ                                       ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,11,;,759684076091         ,;,ALGODON 10 GR                                 ,;;,ALGODON 10 GR                                 ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,12,;,7503003406341        ,;,ALGODON QUIRMEX 200G                          ,;;,ALGODON QUIRMEX 200G                          ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,13,;,7503003406358        ,;,ALGODON QUIRMEX 300G                          ,;;,ALGODON QUIRMEX 300G                          ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,14,;, ALMENDRAS           ,;,ALMENDRAS                                     ,;;,ALMENDRAS                                     ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,15,;, ALOEYA              ,;,ALOEYA                                        ,;;,ALOEYA                                        ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,16,;, AMPER               ,;,AMPER                                         ,;;,AMPER                                         ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,17,;, ARCOIRIS            ,;,ARCOIRIS                                      ,;;,ARCOIRIS                                      ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,18,;, ARIZONA             ,;,ARIZONA                                       ,;;,ARIZONA                                       ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,19,;, ARTESANAL PALETA    ,;,ARTESANAL PALETA                              ,;;,ARTESANAL PALETA                              ,;,NO,;,2,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,20,;, ABACO BARRILITO     ,;,Abaco Barrilito                               ,;;,Abaco Barrilito                               ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,21,;, ABACO CHINO 4 POSTES,;,Abaco Chino De Madera 4 Postes                ,;;,Abaco Chino De Madera 4 Postes                ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,22,;, ABACO CHINO  5POSTES,;,Abaco Chino De Madera 5 Postes                ,;;,Abaco Chino De Madera 5 Postes                ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,23,;, ABACO CHINO         ,;,Abaco Chino De Maderas 3 Postes               ,;;,Abaco Chino De Maderas 3 Postes               ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,24,;, ABACO DE PLASTICO   ,;,Abaco De Plastico Chico                       ,;;,Abaco De Plastico Chico                       ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,25,;, ABACO DE PLASTICO GR,;,Abaco De Plastico Grande                      ,;;,Abaco De Plastico Grande                      ,;,NO,;,6,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,26,;,7502224244251        ,;,Abatelenguas Bolsa                            ,;;,Abatelenguas Bolsa                            ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,27,;, ABATELENGUAS SUELTO ,;,Abatelenguas Suelto                           ,;;,Abatelenguas Suelto                           ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,28,;,4015630007219        ,;,Accu-Chek Performa Blood Glucose Meter        ,;;,Accu-Chek Performa Blood Glucose Meter        ,;,NO,;,7,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,29,;,7501022104255,;,Aceite Corporal Ricitos De Oro 100ml,;,uploads/Xt3Ks2UQhxq0jJMteyqxBjeRMabqlsOYu6zDE8FX.jpg,;,Aceite Corporal Ricitos De Oro 100ml,;,NO,;,8,;,0000-00-00 00:00:00,;,2021-06-09 16:02:23,
,30,;, ACEITE DE AGUACATE  ,;,Aceite De Aguacate                            ,;;,Aceite De Aguacate                            ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,31,;, ACEITE DE ALMENDRAS ,;,Aceite De Almendras                           ,;;,Aceite De Almendras                           ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,32,;, ACEITE DE ARGAN     ,;,Aceite De Argan                               ,;;,Aceite De Argan                               ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,33,;,7502253580245        ,;,Aceite De Coco                                ,;;,Aceite De Coco                                ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,34,;, ACEITE DE EUCALIPTO ,;,Aceite De Eucalipto                           ,;;,Aceite De Eucalipto                           ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,35,;, ACEITE DE LIMON     ,;,Aceite De Limon                               ,;;,Aceite De Limon                               ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,36,;, ACEITE DE MAMEY     ,;,Aceite De Mamey                               ,;;,Aceite De Mamey                               ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
,37,;, ACEITE DE OLIVO     ,;,Aceite De Olivo                               ,;;,Aceite De Olivo                               ,;,NO,;,9,;,0000-00-00 00:00:00,;,0000-00-00 00:00:00,
